Name,Race,Grade,Rarity,6★ HP,6★ Strength,6★ Magic,6★ Vitality,6★ Agility,6★ Luck,Phys,Fire,Ice,Elec,Force,Light,Dark,Skill 1,Skill 2,Skill 3,Clear Archetype,Red Archetype,Yellow Archetype,Purple Archetype,Teal Archetype,Red Gacha,Yellow Gacha,Purple Gacha,Teal Gacha,AI,PATK,PDEF,MATK,MDEF
Metatron,Herald,99,5,1140,176,199,164,129,122,-,Resist,Resist,Resist,Resist,Null,-,"Holy Wrath|天罰|5 MP|Inflicts Light (Magic) damage 2 to 4 times with 50 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Infinite Chakra|無限のチャクラ|Passive|Increases naturally recovered MP by 1 MP.,Fire of Sinai|シナイの神火|7 MP|Inflicts Almighty (Magic) damage 5 times with 45 power on Random Enemy/ies.,Enduring Soul|不屈の闘志|Passive|Heals 200 HP upon receiving the first killing blow.,"Mahamadyne|マハンマダイン|7 MP|Inflicts Light (Magic) damage with 120 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Salvation|メシアライザー|10 MP|Heals All Party Members with 95 power. Cures all status aliments. (3 uses),Mana Gain|二分の魔脈|Passive|+2 to max MP.,Repel Elec|電撃反射|Passive|Adds Elec Repel.,"Spirit Drain|吸魔       |6 MP|Inflicts Almighty (Magic) damage with 100 power on a Single Enemy and drains 1 MP.

Lv2: 3% chance of 1 MP recovery.
Lv3: 5% chance of 1 MP recovery.
Lv4: 7% chance of 1 MP recovery.
Lv5: 9% chance of 1 MP recovery.
Lv6: 11% chance of 1 MP recovery.","Maragidyne|マハラギダイン|7 MP|Inflicts Fire (Magic) damage with 120 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Maziodyne|マハジオダイン|7 MP|Inflicts Elec (Magic) damage with 120 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Resist Phys|物理耐性|Passive|Adds Phys Resist.,Attack,699,598,747,609
Lucifer,Tyrant,98,5,1136,176,163,163,152,132,Resist,-,-,-,-,Weak,Repel,"Megidolaon|メギドラオン|8 MP|Inflicts Almighty (Magic) damage with 120 power on All Enemies.

Lv2: +2% to damage.
Lv3: +4% to damage.
Lv4: +6% to damage.
Lv5: +8% to damage.
Lv6: +10% to damage.","Trisagion|トリスアギオン|7 MP|Inflicts Fire (Magic) damage with 180 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Morning Star|明けの明星|8 MP|Inflicts Almighty (Magic) damage with 150 power on All Enemies. (3 uses),Vitality Amp III|三段の恵体|Passive|+15 to Vitality.,"Titanomachia|ティタノマキア|7 MP|Inflicts Phys (Physical) damage with 30% crit rate and 110 power on All Enemies.

Lv2: +4% to Phys attack hit rate.
Lv3: +7% to Phys attack hit rate.
Lv4: +10% to Phys attack hit rate.
Lv5: +13% to Phys attack hit rate.
Lv6: +16% to Phys attack hit rate.","Recarmdra|リカームドラ|8 MP|Revive All Party Members with full HP, caster dies. (1 use)",Butcher|大虐殺者|Passive|+20% to multiple-target attack skill damage.,Drain Light|破魔吸収|Passive|Adds Light Drain.,Vitality Amp III|三段の恵体|Passive|+15 to Vitality.,Null Charm|魅了無効|Passive|Adds Null Charm.,"Evil Gaze|イービルアイ|4 MP|Inflicts Dark (Magic) damage 2 to 4 times with 40 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Marin Karion|マリンカリオン|6 MP|50% chance to inflict Charm on a Single Enemy.

Lv2: +3% to chance to inflict status ailments.
Lv3: +6% to chance to inflict status ailments.
Lv4: +9% to chance to inflict status ailments.
Lv5: +12% to chance to inflict status ailments.
Lv6: +20% to chance to inflict status ailments.",Attack,699,597,672,590
Vishnu,Deity,97,5,1037,152,208,142,117,152,-,Weak,Drain,-,-,Null,Null,"Bufudyne|ブフダイン|6 MP|Inflicts Ice (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","Holy Wrath|天罰|5 MP|Inflicts Light (Magic) damage 2 to 4 times with 50 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Avatar|アヴァターラ|Passive|Heals 200 HP upon receiving the first killing blow. Heals 40% HP when clearing a wave.,"Mudodyne|ムドダイン|6 MP|Inflicts Dark (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","Megidolaon|メギドラオン|8 MP|Inflicts Almighty (Magic) damage with 120 power on All Enemies.

Lv2: +2% to damage.
Lv3: +4% to damage.
Lv4: +6% to damage.
Lv5: +8% to damage.
Lv6: +10% to damage.",Prayer|常世の祈り|5 MP|Cures all status ailments of All Party Members.,Null Weak|虚弱無効|Passive|Adds Null Weak.,Repel Dark|呪殺反射|Passive|Adds Dark Repel.,"Hellfire|地獄の業火|5 MP|Inflicts Fire (Magic) damage 2 to 4 times with 50 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Null Bind|緊縛無効|Passive|Adds Null Bind.,"Wind Breath|ウィンドブレス|4 MP|Inflicts Force (Magic) damage 2 to 4 times with 40 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Resist Fire|火炎耐性|Passive|Adds Fire Resist.,Attack,649,562,766,590
Yoshitsune,Hero,97,5,1089,198,132,153,163,132,Resist,-,-,-,-,Null,Null,"Vorpal Blade|空間殺法|7 MP|Inflicts Phys (Physical) damage with 140 power on All Enemies.

Lv2: +4% to damage.
Lv3: +7% to damage.
Lv4: +10% to damage.
Lv5: +13% to damage.",Mana Aid|勝利のチャクラ|Passive|Recovers 10 MP when clearing a wave.,Hassou Tobi|八艘飛び|7 MP|Inflicts Phys (Physical) damage 8 times with 35 power on Random Enemy/(ies).,Enduring Soul|不屈の闘志|Passive|Heals 200 HP upon receiving the first killing blow.,"Gigantomachia|ギガントマキア|8 MP|Inflicts Phys (Physical) damage with 160 power on All Enemies.

Lv2: +4% to damage.
Lv3: +7% to damage.
Lv4: +10% to damage.
Lv5: +13% to damage.",Tetrakarn|テトラカーン|7 MP|All Party Members repels Physical damage for 1 turn.,Phys Amp|物理ハイブースタ|Passive|+25% to Phys damage.,Drain Phys|物理吸収|Passive|Adds Phys Drain.,"God's Hand|ゴッドハンド|8 MP|Inflicts Phys (Physical) damage with 200 power on a Single Enemy.

Lv2: +5% to damage.
Lv3: +8% to damage.
Lv4: +11% to damage.
Lv5: +14% to damage.
Lv6: +17% to damage.",Auto-Sukuka|スクカオート|Passive|Casts Sukukaja at the beginning of the 1st turn.,Savage Glee|ミナゴロシの愉悦|Passive|+25% to Critical hit rate.,Resist Ice|氷結耐性|Passive|Adds Ice Resist.,Attack,745,597,607,564
Mother Harlot,Fiend,95,5,1131,91,207,162,128,184,Null,-,-,,Weak,Resist,Resist,Mana Gain|二分の魔脈|Passive|+2 to max MP.,Empress' Libido||Passive|+25% damage to Charmed enemies. Has a 30% to Charm all enemies at the beginning of the 1st turn.,"Babylon Goblet||8 MP|Inflicts Almighty (Magic) damage with 100 power and drains 1 MP on All Enemies. 

Lv2: +3% to damage.
Lv3: +6% to damage.
Lv4: +9% to damage.
Lv5: +12% to damage.
Lv6: +12% to damage. MP cost -1.",Magic Amp III|三段の賢魔|Passive|+15 to Magic.,"Deathtouch|デスタッチ|6 MP|Inflicts Almighty (Magic) damage with 140 power on a Single Enemy, while healing caster 40% of damage dealt.

Lv2: 3% chance of 1 MP recovery.
Lv3: 5% chance of 1 MP recovery.
Lv4: 7% chance of 1 MP recovery.
Lv5: 9% chance of 1 MP recovery.
Lv6: 11% chance of 1 MP recovery.","Debilitate|ランダマイザ|8 MP|Reduces ATK, DEF, and EV/AC of All Enemies by 20% for 3 turns.",Deadly Charm|魅了追撃|Passive|+30% damage to Charmed enemies.,Drain Phys|物理吸収|Passive|Adds Phys Drain.,Tetra Shift|テトラカシフト|Passive|Casts Tetrakarn at the beginning of a battle if the enemy attacks first.,Infernal Mask|奈落のマスク|Passive|-60% chance of receiving status ailments.,Insanity|狂い咲き|Passive|+20% chance to inflict status ailments.,Makara Shift|マカラカシフト|Passive|Casts Makarakarn at the beginning of a battle if the enemy attacks first.,Support,521,553,764,611
Trumpeter,Fiend,94,5,1032,121,207,141,160,162,-,-,-,-,-,Null,Null,Concentrate|コンセントレイト|6 MP|Self enters a state of Concentrate. Increases the next Mag attack damage by 125%.,"Soul Drain|ソウルドレイン|8 MP|Inflicts Almighty (Magic) damage with 140 power on a Single Enemy, while healing caster 40% of damage dealt and drains 1 MP.

Lv2: 3% chance of 1 MP recovery.
Lv3: 5% chance of 1 MP recovery.
Lv4: 7% chance of 1 MP recovery.
Lv5: 9% chance of 1 MP recovery.
Lv6: 11% chance of 1 MP recovery.","Apocalypse|アポカリプス|8 MP|Inflicts Almighty (Magic) damage with 120 power on All Enemies with 40% chance to inflict Mute.

Lv2: +10% chance to inflict status ailments.
Lv3: +20% chance to inflict status ailments.
Lv4: +20% chance to inflict status ailments. MP cost -1.","Mahamakajamaon|マハマカジャオン|7 MP|40% chance to inflict Mute on All Enemies.

Lv2: +4% to chance to inflict status ailments.
Lv3: +7% to chance to inflict status ailments.
Lv4: +15% to chance to inflict status ailments.",Judgement|ジャッジメント|9 MP|Inflicts Almighty (Magic) damage with 100 power on All Enemies and increases own party's ATK 20% for 3 turns.,"Vengeance|祟り|6 MP|40% chance to inflict Curse 1 to 4 times on Random Enemy/ies.

Lv2: +4% to chance to inflict status ailments.
Lv3: +7% to chance to inflict status ailments.
Lv4: +15% to chance to inflict status ailments.",Auto-Rakuga|ラクカオート|Passive|Casts Rakukaja at the beginning of the 1st turn.,Resist Phys|物理耐性|Passive|Adds Phys Resist.,Evade|寸分の見切り|Passive|+20% Phys evasion rate.,Auto-Tarunda|タルンダオート|Passive|Casts Tarunda at the beginning of the 1st turn.,"Trisagion|トリスアギオン|7 MP|Inflicts Fire (Magic) damage with 180 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Resist Fire|火炎耐性|Passive|Adds Fire Resist.,Attack,584,545,764,588
Shiva,Fury,93,5,1032,229,151,141,160,152,Resist,Drain,Weak,Drain,-,-,-,Serial Killer|虐殺者|Passive|+10% to multiple-target attack skill damage.,"Vorpal Blade|空間殺法|7 MP|Inflicts Phys (Physical) damage with 140 power on All Enemies.

Lv2: +4% to damage.
Lv3: +7% to damage.
Lv4: +10% to damage.
Lv5: +13% to damage.",Pralaya|プララヤ|8 MP|Inflicts Almighty (Magic) damage with 100 power on All Enemies while removing Repel Phys and Repel Mag. The damage inflicted by this skill is dependent on Phys ATK.,Null Charm|魅了無効|Passive|Adds Null Charm.,"God's Hand|ゴッドハンド|8 MP|Inflicts Phys (Physical) damage with 200 power on a Single Enemy.

Lv2: +5% to damage.
Lv3: +8% to damage.
Lv4: +11% to damage.
Lv5: +14% to damage.
Lv6: +17% to damage.",Rebellion|リベリオン|6 MP|Self enters a state of Might. The next Phys attack will have a Critical effect.,Evade|寸分の見切り|Passive|+20% Phys evasion rate.,Drain Ice|氷結吸収|Passive|Adds Ice Drain.,Strength Amp III|三段の剛力|Passive|+15 to Strength.,"Mortal Jihad|モータルジハード|6 MP|Inflicts Phys (Physical) damage with 30% crit rate and 145 power on a Single Enemy.

Lv2: +4% to Phys attack hit rate.
Lv3: +7% to Phys attack hit rate.
Lv4: +10% to Phys attack hit rate.
Lv5: +13% to Phys attack hit rate.
Lv6: +16% to Phys attack hit rate.","Binge Eating|暴飲暴食|6 MP|Inflicts Phys (Physical) damage with 140 power on a Single Enemy, while healing caster 40% of damage dealt.

Lv2: +3% to damage.
Lv3: +5% to damage.
Lv4: +7% to damage.
Lv5: +9% to damage.
Lv6: +11% to damage.",Resist Force|衝撃耐性|Passive|Adds Force Resist.,Attack,810,599,647,560
Michael,Herald,90,5,1028,183,183,140,158,120,-,-,Null,Null,-,Repel,Weak,Life Aid|勝利の息吹|Passive|Heals 30% HP when clearing a wave.,Soul Judgement|魂の審判|5 MP|Inflicts Light (Magic) damage 7 times with 30 power on Random Enemy/ies.,"Megidolaon|メギドラオン|8 MP|Inflicts Almighty (Magic) damage with 120 power on All Enemies.

Lv2: +2% to damage.
Lv3: +4% to damage.
Lv4: +6% to damage.
Lv5: +8% to damage.
Lv6: +10% to damage.",Endure|食いしばり|Passive|HP stops at 1 HP upon receiving the first killing blow.,"Thunderclap|裁きの雷火|7 MP|Inflicts Light (Magic) damage with 180 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","Mediarahan|メディアラハン|9 MP|Heals All Party Members with 130 power. (9 uses)

Lv2: +3% to Healing amount.
Lv3: +6% to Healing amount.
Lv4: +9% to Healing amount.",Hellish Mask|地獄のマスク|Passive|-35% chance of receiving status ailments.,Repel Dark|呪殺反射|Passive|Adds Dark Repel.,"Titanomachia|ティタノマキア|7 MP|Inflicts Phys (Physical) damage with 30% crit rate and 110 power on All Enemies.

Lv2: +4% to Phys attack hit rate.
Lv3: +7% to Phys attack hit rate.
Lv4: +10% to Phys attack hit rate.
Lv5: +13% to Phys attack hit rate.
Lv6: +16% to Phys attack hit rate.",Magic Amp III|三段の賢魔|Passive|+15 to Magic.,"Ziodyne|ジオダイン|6 MP|Inflicts Elec (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Null Bind|緊縛無効|Passive|Adds Null Bind.,Attack,714,575,714,575
Mara,Tyrant,90,5,934,228,109,120,136,172,-,-,Weak,Drain,-,Resist,Resist,Null Bind|緊縛無効|Passive|Adds Null Bind.,"Titanomachia|ティタノマキア|7 MP|Inflicts Phys (Physical) damage with 30% crit rate and 110 power on All Enemies.

Lv2: +4% to Phys attack hit rate.
Lv3: +7% to Phys attack hit rate.
Lv4: +10% to Phys attack hit rate.
Lv5: +13% to Phys attack hit rate.
Lv6: +16% to Phys attack hit rate.","Hell Thrust|地獄突き|7 MP|Inflicts Phys (Physical) damage with 50 power on Random Enemy/(ies) 4 times with a 35% chance to inflict Charm.

Lv2: +5% to damage.
Lv3: +10% to damage.
Lv4: +15% to damage.
Lv5: +20% to damage.
Lv6: +20% to damage. 100% chance of 2 MP recovery.","Megaton Raid|メガトンレイド|7 MP|Inflicts Phys (Physical) damage with 180 power on a Single Enemy.

Lv2: +5% to damage.
Lv3: +8% to damage.
Lv4: +11% to damage.
Lv5: +14% to damage.
Lv6: +17% to damage.","Soul Drain|ソウルドレイン|8 MP|Inflicts Almighty (Magic) damage with 140 power on a Single Enemy, while healing caster 40% of damage dealt and drains 1 MP.

Lv2: 3% chance of 1 MP recovery.
Lv3: 5% chance of 1 MP recovery.
Lv4: 7% chance of 1 MP recovery.
Lv5: 9% chance of 1 MP recovery.
Lv6: 11% chance of 1 MP recovery.",Charge|チャージ|6 MP|Self enters a state of Charge. Increases the next Phys attack damage by 125%.,Phys Pierce|物理貫通|Passive|Phys attacks bypass resistances,Null Ice|氷結無効|Passive|Adds Ice Null.,Strength Amp III|三段の剛力|Passive|+15 to Strength.,Great Aim|千発千中|Passive|+20% to Phys hit rate.,Phys Boost|物理ブースタ|Passive|+15% to Phys damage.,Resist Phys|物理耐性|Passive|Adds Phys Resist.,Attack,808,576,558,516
Alice,Fiend,89,5,1023,98,217,139,147,172,-,-,-,-,-,Weak,Repel,"Mamudoon|マハムドオン|6 MP|Inflicts Dark (Magic) damage with 100 power on All Enemies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.","Mudodyne|ムドダイン|6 MP|Inflicts Dark (Magic) damage with 160 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Die for Me!|死んでくれる？|7 MP|Kills a Single Enemy. (1 use),"Soul Drain|ソウルドレイン|8 MP|Inflicts Almighty (Magic) damage with 140 power on a Single Enemy, while healing caster 40% of damage dealt and drains 1 MP.

Lv2: 3% chance of 1 MP recovery.
Lv3: 5% chance of 1 MP recovery.
Lv4: 7% chance of 1 MP recovery.
Lv5: 9% chance of 1 MP recovery.
Lv6: 11% chance of 1 MP recovery.","Hell Gaze|地獄之眼|7 MP|Inflicts Dark (Magic) damage with 180 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.","Mahajuon|マハジュオン|7 MP|50% chance to inflict Curse on All Enemies.

Lv2: +4% to chance to inflict status ailments.
Lv3: +7% to chance to inflict status ailments.
Lv4: +15% to chance to inflict status ailments.",Dark Amp|呪殺ハイブースタ|Passive|+25% to Dark damage.,Repel Light|破魔反射|Passive|Adds Light Repel.,"Glacial Blast|絶対零度|5 MP|Inflicts Ice (Magic) damage 2 to 4 times with 50 power on Random Enemy/ies.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.",Epic Recovery|超自然治癒|Passive|+30% to status ailment auto cure rate.,Wild Instinct|野獣の勘|Passive|-25% to Critical hit rate of damage received.,"Thunder Reign|真理の雷|7 MP|Inflicts Elec (Magic) damage with 180 power on a Single Enemy.

Lv2: +4% to damage.
Lv3: +6% to damage.
Lv4: +8% to damage.
Lv5: +10% to damage.
Lv6: +12% to damage.",Attack,535,531,785,591
